algorithm,size,runs,cpu_time_seconds,avg_comparisons,avg_swaps
Bubble,100,1000,0.021540,4880.30,2481.28
Quick,100,1000,0.002342,648.57,391.70
Merge,100,1000,0.004984,542.13,672.00
Heap,100,1000,0.003380,1027.57,581.40
Bubble,200,1000,0.072372,19747.44,9960.91
Quick,200,1000,0.005218,1559.02,915.13
Merge,200,1000,0.010695,1281.78,1544.00
Heap,200,1000,0.007710,2453.17,1360.23
Bubble,300,1000,0.152142,44598.22,22445.95
Quick,300,1000,0.008218,2586.05,1485.53
Merge,300,1000,0.016704,2097.72,2488.00
Heap,300,1000,0.012359,4025.14,2211.92
Bubble,400,1000,0.263755,79449.96,39937.68
Quick,400,1000,0.012097,3666.56,2106.29
Merge,400,1000,0.022636,2962.21,3488.00
Heap,400,1000,0.017080,5705.64,3116.69
Bubble,500,1000,0.402918,124317.29,62354.17
Quick,500,1000,0.015558,4809.85,2728.62
Merge,500,1000,0.028676,3853.64,4488.00
Heap,500,1000,0.022233,7426.06,4042.53
Bubble,600,1000,0.572684,179206.50,89852.05
Quick,600,1000,0.018608,5993.27,3390.88
Merge,600,1000,0.035480,4792.38,5576.00
Heap,600,1000,0.027330,9247.70,5018.26
Bubble,700,1000,0.774090,243990.65,122408.68
Quick,700,1000,0.022068,7194.04,4050.65
Merge,700,1000,0.041426,5749.55,6676.00
Heap,700,1000,0.032347,11114.78,6016.84
Bubble,800,1000,1.003445,318852.23,159678.23
Quick,800,1000,0.026680,8443.98,4763.77
Merge,800,1000,0.048303,6721.39,7776.00
Heap,800,1000,0.037579,13011.51,7031.58
Bubble,900,1000,1.269474,403695.17,202516.38
Quick,900,1000,0.030649,9692.89,5442.18
Merge,900,1000,0.054041,7710.30,8876.00
Heap,900,1000,0.043960,14923.36,8052.72
Bubble,1000,1000,1.557498,498603.81,249904.18
Quick,1000,1000,0.033199,10962.32,6141.89
Merge,1000,1000,0.060504,8707.08,9976.00
Heap,1000,1000,0.048927,16852.51,9082.02
